,Campaign,Ad_group,Keyword_type,Search_keyword,Clicks,Impressions,Cost,Leads,Prospects,CTR,CPC,Weeks,Region
390,EK_Generic_Swimming,Pool_Reservation_System_Exact,Exact,pool reservation system,5,54,53.69,1,1,9.259259259,10.738,03-05-2021,
391,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_App_Exact,Exact,yoga studio app,4,22,11.73,0,0,18.18181818,2.9325,03-05-2021,
392,EK_Generic_Tri-Tok_Pilates,Pilates_Studio_Software_Exact,Exact,pilates studio software,4,9,39.16,0,0,44.44444444,9.79,03-05-2021,
393,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_Software_Exact,Exact,yoga studio software,2,90,23.06,0,0,2.222222222,11.53,03-05-2021,
394,EK_Generic_Swimming_Singapore,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,1,7,6.74,0,0,14.28571429,6.74,03-05-2021,Singapore
395,EK_Generic_Swimming_Canada,Pool_Reservation_Software_Broad,Broad,pool reservation software,1,8,1.92,0,0,12.5,1.92,03-05-2021,Canada
396,EK_Generic_Swimming_Singapore,Pool_Reservation_Software_Broad,Broad,pool reservation software,1,3,4.41,0,0,33.33333333,4.41,03-05-2021,Singapore
397,EK_Generic_Swimming,Pool_Booking_App_Exact,Exact,pool booking app,1,9,0.93,0,0,11.11111111,0.93,03-05-2021,
398,EK_Generic_Swimming,Pool_Scheduling_Software_Phrase,Phrase,pool scheduling software,1,19,7.58,0,0,5.263157895,7.58,03-05-2021,
399,EK_Generic_Swimming,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,1,2,6.15,0,0,50,6.15,03-05-2021,
400,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,1,20,4.57,0,0,5,4.57,03-05-2021,
401,EK_Generic_Swimming,Pool_Reservation_Software_Open_Broad,Broad,#NAME?,1,13,3.77,0,0,7.692307692,3.77,03-05-2021,
402,EK_Generic_Quad-Tok_Pilates,Pilates_Studio_Software_Manager_Exact,Exact,pilates studio software manager,0,0,0,0,0,0,0,03-05-2021,
403,EK_Generic_Tri-Tok_Pilates,Pilates_Studio_Software_Phrase,Phrase,pilates studio software,0,1,0,0,0,0,0,03-05-2021,
404,EK_Generic_Swimming,Swimming_Pool_Reservation_System_Exact,Exact,swimming pool reservation system,0,2,0,0,0,0,0,03-05-2021,
405,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,booking management software,0,2,0,0,0,0,0,03-05-2021,
406,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,reservation management system,0,2,0,0,0,0,0,03-05-2021,
407,EK_Generic_Tri-Tok_Pilates,Pilates_Booking_System_Exact,Exact,pilates booking system,0,0,0,0,0,0,0,03-05-2021,
408,EK_Generic_Swimming,Pool_Reservation_Software_Exact,Exact,pool reservation software,0,0,0,0,0,0,0,03-05-2021,
409,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Generic_Software_Phrase,Phrase,yoga studio management software,0,2,0,0,0,0,0,03-05-2021,
410,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_App_Phrase,Phrase,yoga studio app,0,1,0,0,0,0,0,03-05-2021,
411,EK_Generic_Swimming_UK,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,4,0,0,0,0,0,03-05-2021,UK
412,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Phrase,Phrase,booking management software,0,1,0,0,0,0,0,03-05-2021,UK
413,EK_Generic_Swimming,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,1,0,0,0,0,0,03-05-2021,
414,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Exact,Exact,yoga studio booking software,0,6,0,0,0,0,0,03-05-2021,
415,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Exact,Exact,reservation management system,0,0,0,0,0,0,0,03-05-2021,
416,EK_Generic_Quad-Tok_Pilates,Pilates_Studio_Booking_Software_Broad,Broad,pilates studio booking software,0,1,0,0,0,0,0,03-05-2021,
417,EK_Generic_Quad-Tok_Pilates,Pilates_Studio_Management_Software_Exact,Exact,pilates studio management software,0,3,0,0,0,0,0,03-05-2021,
